text,id,emotion
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",461,negative
Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,462,neutral
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",463,positive
Finnish aluminium products manufacturer Nordic Aluminium Plc ( OMX Helsinki : NOA1V ) reported on Monday ( 18 August ) an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .,464,neutral
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",465,neutral
"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million .",466,positive
"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .",467,positive
"On preliminary estimate , the hotel will operate under the brand Novotel .",468,neutral
"TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' .",469,neutral
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,470,negative
He wore a black beanie-type cap and a black jacket .,471,neutral
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",472,positive
Tesco shares jump 6% after Christmas sales beat expectations,473,positive
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,474,neutral
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",475,neutral
Net loss in the same period in 2009 was euro18 .6 million .,476,neutral
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,477,neutral
Shell to buy BG Group in $69.7 billion takeover,478,positive
$BBRY hearing rumours of a major joint venture announcement.,479,positive
Philips was not available to comment on the report .,480,neutral
"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .",481,positive
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",482,neutral
"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .",483,positive
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",484,negative
"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",485,neutral
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,486,neutral
RBI surprises Street; Sensex pares gains after hitting mount 30k,487,negative
"Tieto 's service is also used to send , process and receive materials related to absentee voting .",488,neutral
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,489,negative
"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",490,negative
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,491,neutral
This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,492,neutral
Feed companies Suomen Rehu and Raisio do no import GMO feed .,493,neutral
"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",494,neutral
Earnings per share EPS amounted to EUR0 .01 .,495,neutral
Short on $ATVI from 24.55.,496,negative
$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,497,positive
"19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",498,neutral
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",499,negative
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',500,neutral
CompaniesTesco off to a bad start over Xmas â€“ Kantar,501,negative
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",502,neutral
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",503,neutral
President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland .,504,positive
"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",505,neutral
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,506,neutral
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,507,neutral
Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,508,negative
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",509,neutral
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",510,positive
Standard Chartered Shifts Emerging-Markets Strategy After Losses,511,negative
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",512,neutral
"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .",513,positive
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,514,neutral
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",515,negative
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",516,negative
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,517,neutral
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",518,positive
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",519,positive
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",520,positive
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,521,positive
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,522,positive
$IWM same conditions that sent markets to tumble all hitting this week,523,negative
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,524,negative
Pohjola and cooperative banks have continued to combine their branch office network .,525,neutral
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",526,negative
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .,527,neutral
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",528,positive
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",529,neutral
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",530,positive
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .",531,neutral
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,532,neutral
"The company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .",533,neutral
The office space will rise above the remodeled Cannon Street underground station .,534,neutral
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",535,negative
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",536,positive
The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,537,neutral
"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",538,neutral
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",539,neutral
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .",540,neutral
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",541,neutral
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",542,neutral
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",543,positive
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,544,positive
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",545,neutral
`` We 've been feeling quite positive about the region as a whole .,546,positive
"Under the terms of the agreement , Bunge will acquire Raisio 's Keiju , Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland .",547,neutral
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",548,negative
After 1 April 2007 Cencorp will not have any own employees in the territory .,549,neutral
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",550,neutral
"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",551,positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",552,neutral
"In Finland , export industry forms a large clientele for the packaging industry .",553,neutral
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",554,positive
You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,555,neutral
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",556,negative
"BHP Billiton posts big loss, slashes dividend",557,negative
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,558,neutral
Device volume in the area decreased by 21 % to 2.7 mn units .,559,neutral
"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",560,neutral
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,561,positive
"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .",562,neutral
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",563,neutral
Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .,564,neutral
Poyry has a good track record of major transportation projects in Latin America .,565,positive
"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",566,neutral
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",567,negative
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,568,positive
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,569,positive
The repurchases shall decrease the distributable capital and reserves .,570,negative
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,571,neutral
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,572,negative
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",573,positive
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",574,negative
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,575,negative
Glencore slumps 25 pct as debt fears grow,576,negative
The air traffic of Finland has been in stoppage since then .,577,negative
55 workers in +àm+Ñl will be affected by the close-down .,578,negative
Metso estimates the need for personnel reductions to amount to 25 people .,579,neutral
The EPS improved to EUR0 .38 from EUR0 .27 .,580,positive
The final outcome of the rights offering is to be reported around 23 October 2009 .,581,neutral
Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,582,neutral
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",583,positive
Copper market may get a 2003-style supply shock from Glencore closures,584,negative
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",585,positive
Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .,586,neutral
"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",587,positive
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .",588,positive
$SPY Long 1/2 position 137.89,589,positive
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",590,positive
No service pricing details were disclosed .,591,neutral
The expanded plant is scheduled to be operational by the middle of October 2009 .,592,neutral
"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .",593,positive
"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",594,negative
"In the Baltic countries , Atria 's target is organic growth .",595,neutral
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,596,neutral
Otherwise the situation is under control .,597,neutral
"In beers , Olvi retained its market position .",598,neutral
"According to latest information , Benefon will launch its Twig device on 20 September 2006 .",599,neutral
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",600,neutral
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,601,neutral
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",602,positive
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",603,neutral
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",604,neutral
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,605,neutral
Berkshire Hathaway names Kara Raiguel to lead General Re unit,606,neutral
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,607,neutral
The air traffic of Finland has been in stoppage since then .,608,neutral
The new B shares carry the right to dividend and other shareholder rights with effect from today .,609,neutral
The company says the measures are no longer needed .,610,neutral
"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",611,negative
BM4 middle layer headbox will be equipped with a dilution control system .,612,neutral
"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .",613,positive
$FTI Breakout today after reporting earnings last night,614,positive
"In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales contracted to EUR 340.4 million from EUR 361.1 million .",615,positive
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",616,negative
"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",617,positive
Relief for Lewis as Tesco sees sales grow for first time in a year,618,positive
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,619,neutral
The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,620,positive
Ruukki Group calculates that it has lost EUR 4mn in the failed project .,621,neutral
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,622,positive
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",623,positive
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",624,neutral
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging .",625,neutral
"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",626,neutral
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",627,negative
$WYNN big bounce,628,positive
Morrisons faces festive sales test,629,negative
"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .",630,positive
"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .",631,neutral
"In addition , the company is considering the start of production in Russia .",632,neutral
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",633,negative
"The company will publish its financial statement for 2008 on February 25 , 2009 .",634,neutral
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",635,neutral
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",636,negative
Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia .,637,neutral
Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .,638,neutral
$RAD All my charts are flashing oversold.,639,neutral
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",640,neutral
Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,641,negative
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",642,positive
"$ZSL looking very weak, could be a good short setup.",643,negative
"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",644,neutral
Insurance policies should be simple .,645,neutral
$SPY weak close,646,negative
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",647,neutral
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",648,neutral
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",649,neutral
The result before taxes was a loss of 25.0 million euros .,650,neutral
BHP Billiton drags FTSE lower after slashing dividend,651,negative
"Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .",652,neutral
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",653,neutral
"Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .",654,neutral
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",655,positive
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,656,negative
"As a domestic business , Best-In is already close to Finnish dog owners .",657,positive
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",658,neutral
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,659,negative
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",660,neutral
The webcast may be followed online on the company website at www.ruukki.com/investors .,661,neutral
YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,662,positive
"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",663,positive
@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,664,positive
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",665,negative
"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",666,positive
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,667,neutral
Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,668,neutral
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,669,positive
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,670,positive
The deal is subject to approval by the Norwegian competition authorities .,671,neutral
"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services .",672,neutral
@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,673,positive
$INO back in this am small post,674,positive
"`` Because we 're a pension insurance company , we 're required to diversify and not put too much in one asset class .",675,neutral
"$pcln back over ""up"" trendline from 10/4",676,positive
I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,677,positive
Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,678,neutral
Fortum also has a blocking stake in Northwestern TGK-1 .,679,neutral
"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .",680,neutral
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",681,positive
`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .,682,neutral
Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,683,neutral
"The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products .",684,neutral
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",685,neutral
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,686,positive
"The number of class A shares remains unchanged at 9,526,089 shares .",687,neutral
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,688,neutral
"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",689,neutral
$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,690,positive
The figure does not include food exports from Finland .,691,neutral
FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,692,neutral
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,693,positive
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,694,negative
"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .",695,neutral
$CAMT Looks like might break down. I'm out,696,negative
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",697,negative
"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",698,positive
Repeats sees 2008 EBITA above 18 pct of sales .,699,positive
"`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .",700,neutral
"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",701,positive
$NFLX and $TSLA making all kinds of gains 📈,702,positive
Out of shorts $ALTR at 38.85 with loss,703,positive
"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",704,neutral
"Several large stocks tacked lower , however .",705,neutral
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,706,neutral
Joint procurement will be later extended to the factories in the Baltic countries .,707,neutral
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",708,neutral
"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",709,positive
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,710,positive
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,711,neutral
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",712,negative
$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),713,negative
The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,714,neutral
RSA 's shares closed at 156.9 p at the time of going to press .,715,neutral
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",716,positive
"The copying , republication or redistribution of AFX News Content , including by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",717,neutral
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,718,positive
"At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .",719,neutral
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",720,neutral
Activities range from the development of natural resources to the retailed marketing of finished products .,721,neutral
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,722,positive
"The Apple Inc. iPhone wo n't change the game plan for Verizon Communications Inc. , Chief Executive Ivan Seidenberg said Wednesday .",723,neutral
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,724,positive
"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia .",725,neutral
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",726,positive
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",727,positive
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,728,negative
"As such , the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe .",729,neutral
Consumption is forecast to grow by about 2 % .,730,positive
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,731,positive
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,732,negative
